gen,n,shape,raw,comp,ratio,slack,growth_3_8,alphabet,lines,distinct_lines,space_share,run_share,max_run,repeat_count,repeat_wasted,repeat_block,seconds
rotfuck,3,dense,1707,408,4.18,1299,,8,1,1,0.0,0.0,3,19,288,"[.,<>-+][.,<>-+]",0.0
rotfuck,3,parity,1576,376,4.19,1200,,8,1,1,0.0,0.0,3,19,288,",<>-+][.,<>-+][.",0.0
rotfuck,8,dense,1158946,16892,68.61,1142054,678.9,8,1,1,0.0,0.0,3,4972,636288,",<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.",0.008
rotfuck,8,parity,1153181,16634,69.33,1136547,731.7,8,1,1,0.0,0.0,3,4968,635776,",<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.,<>]]][.",0.004
sbleq,3,dense,147,75,1.96,72,,12,1,1,0.367,0.0,2,10,36, 0 0,0.0
sbleq,3,parity,255,101,2.52,154,,12,1,1,0.369,0.0,2,22,84,0 0 ,0.0
sbleq,8,dense,6845,1133,6.04,5712,46.6,12,1,1,0.261,0.0,3,525,2096, 159,0.002
sbleq,8,parity,10004,1564,6.4,8440,39.2,12,1,1,0.26,0.0,3,768,3068, 232,0.002
six_five,3,dense,96,45,2.13,51,,11,1,1,0.0,0.573,9,19,72,6666,0.0
six_five,3,parity,182,55,3.31,127,,11,1,1,0.0,0.429,8,30,116,6666,0.0
six_five,8,dense,1437,128,11.23,1309,15.0,12,1,1,0.0,0.646,524,397,50688,3333333333333333333333333333333333333333333333333333333333333333,0.001
six_five,8,parity,278,90,3.09,188,1.5,17,1,1,0.0,0.367,8,40,156,2222,0.001
slow_acv_mammalian,3,dense,48043,259,185.49,47784,,17,1,1,0.198,0.0,2,8024,1026944,SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED,0.001
slow_acv_mammalian,3,parity,44083,257,171.53,43826,,17,1,1,0.197,0.0,2,7310,935552,SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED,0.0
slow_acv_mammalian,8,dense,1672368,6631,252.2,1665737,34.8,17,1,1,0.196,0.0,2,165662,21204608,SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED,0.048
slow_acv_mammalian,8,parity,1679243,6635,253.09,1672608,38.1,17,1,1,0.196,0.0,2,165599,21196544,SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED SEED,0.048
sophie,3,dense,54,36,1.5,18,,11,1,1,0.0,0.0,2,3,8,;@$4,0.0
sophie,3,parity,91,57,1.6,34,,13,1,1,0.0,0.0,2,4,24,{;@$48{#,0.0
sophie,8,dense,1144,257,4.45,887,21.2,18,1,1,0.0,0.03,6,40,312,{;@$48{;,0.0
sophie,8,parity,309,76,4.07,233,3.4,13,1,1,0.0,0.0,2,3,128,{;@$48{#$2}{#$1}}@$1{;@$48{#$21}{#$22}}@$2{;@$48{#$22}{#$21}}@$2,0.0
streetcode,3,dense,683,163,4.19,520,,14,16,16,0.53,0.549,42,101,1600,                ,0.001
streetcode,3,parity,1439,224,6.42,1215,,14,32,32,0.681,0.666,42,373,5952,                ,0.0
streetcode,8,dense,60383,2667,22.64,57716,88.4,14,720,720,0.828,0.766,79,14796,473440,                                ,0.003
streetcode,8,parity,87039,3547,24.54,83492,60.5,14,1024,1024,0.83,0.759,82,21215,678848,                                ,0.003
suffolk,3,dense,763,52,14.67,711,,5,1,1,0.0,0.326,8,24,2944,!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>,0.0
suffolk,3,parity,875,73,11.99,802,,5,1,1,0.0,0.386,11,24,2944,!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>>!>>>,0.0
suffolk,8,dense,32831,1019,32.22,31812,43.0,5,1,1,0.0,0.93,140,6006,384320,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,0.001
suffolk,8,parity,34697,1093,31.74,33604,39.7,5,1,1,0.0,0.932,145,6806,435520,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,0.001
super_snusp,3,dense,101,47,2.15,54,,14,1,1,0.0,0.158,4,8,28,<<{>,0.0
super_snusp,3,parity,59,41,1.44,18,,13,1,1,0.0,0.136,4,3,8,>1<<,0.0
super_snusp,8,dense,7373,462,15.96,6911,73.0,13,1,1,0.0,0.68,9,1350,5396,<<<<,0.001
super_snusp,8,parity,179,61,2.93,118,3.0,13,1,1,0.0,0.436,9,21,80,<<<<,0.0
suptiftam,3,dense,304,149,2.04,155,,33,28,19,0.007,0.0,2,3,32,"=%-[read]22%
dow",0.0
suptiftam,3,parity,700,166,4.22,534,,33,70,22,0.003,0.0,2,8,224,"
mulStep(:p:)if(p)
p=prod
prod=0",0.0
suptiftam,8,dense,40885,645,63.39,40240,134.5,35,4206,37,0.0,0.0,2,861,27520,"
mulStep(:p:)if(p)
p=prod
prod=0",0.001
suptiftam,8,parity,42535,697,61.03,41838,60.8,35,4376,37,0.0,0.0,2,896,28640,"
mulStep(:p:)if(p)
p=prod
prod=0",0.001
taglate,3,dense,451,90,5.01,361,,14,2,2,0.0,0.789,66,35,1088,00000000000000000000000000000000,0.0
taglate,3,parity,451,93,4.85,358,,14,2,2,0.0,0.805,66,35,1088,00000000000000000000000000000000,0.0
taglate,8,dense,5499,226,24.33,5273,12.2,14,2,2,0.0,0.921,1026,1453,185856,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.0
taglate,8,parity,5499,182,30.21,5317,12.2,14,2,2,0.0,0.921,1026,1453,185856,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.0
three_d_brainfuck,3,dense,269,56,4.8,213,,8,1,1,0.0,0.77,48,51,1600,--------------------------------,0.0
three_d_brainfuck,3,parity,330,64,5.16,266,,8,1,1,0.0,0.609,48,51,1600,--------------------------------,0.0
three_d_brainfuck,8,dense,3759,266,14.13,3493,14.0,8,1,1,0.0,0.144,48,136,4320,--------------------------------,0.002
three_d_brainfuck,8,parity,4945,148,33.41,4797,15.0,8,1,1,0.0,0.093,48,136,4320,--------------------------------,0.002
three_x,3,dense,303,70,4.33,233,,9,1,1,0.0,0.333,6,41,160,333x,0.0
three_x,3,parity,731,94,7.78,637,,9,1,1,0.0,0.308,6,102,404,333x,0.0
three_x,8,dense,27017,416,64.94,26601,89.2,9,1,1,0.0,0.287,6,3946,15780,333x,0.002
three_x,8,parity,30782,407,75.63,30375,42.1,9,1,1,0.0,0.29,6,4478,17908,333x,0.002
unsquare,3,dense,186,53,3.51,133,,11,1,1,0.0,0.516,24,36,560,++++++++++++++++,0.0
unsquare,3,parity,370,67,5.52,303,,11,1,1,0.0,0.519,24,72,1136,++++++++++++++++,0.0
unsquare,8,dense,8496,289,29.4,8207,45.7,11,1,1,0.0,0.52,24,1656,26480,++++++++++++++++,0.009
unsquare,8,parity,11808,207,57.04,11601,31.9,11,1,1,0.0,0.52,24,2304,36848,++++++++++++++++,0.001
wii2d,3,dense,107,50,2.14,57,,16,4,4,0.187,0.617,48,33,512,++++++++++++++++,0.0
wii2d,3,parity,98,44,2.23,54,,16,4,4,0.173,0.612,48,33,512,++++++++++++++++,0.0
wii2d,8,dense,14908,313,47.63,14595,139.3,23,9,9,0.26,0.966,3750,6867,878848,----------------------------------------------------------------,0.185
wii2d,8,parity,258,68,3.79,190,2.6,21,9,9,0.492,0.62,48,66,520,        ,0.0
ztoalc_l,3,dense,293,142,2.06,151,,23,76,24,0.147,0.154,18,27,104,"



",0.0
ztoalc_l,3,parity,213,126,1.69,87,,23,40,21,0.174,0.075,6,8,28,] = ,0.0
ztoalc_l,8,dense,4429,665,6.66,3764,15.1,25,3130,126,0.059,0.696,297,549,35072,"































































",0.0
ztoalc_l,8,parity,1697,401,4.23,1296,8.0,25,890,85,0.107,0.493,60,422,3368,"







",0.0
